myo,action
,Not
109,Not
107,Not
109,Not
109,Not
107,Not
105,Not
103,Not
104,Not
101,Not
109,Not
110,Not
114,Not
121,Not
119,Not
118,Not
113,Not
114,Not
112,Not
121,Not
126,Not
129,Not
125,Not
124,Not
122,Not
124,Not
120,Not
117,Not
121,Not
128,Not
129,Not
125,Not
129,Not
127,Not
126,Not
126,Not
125,Not
132,Not
127,Not
127,Not
125,Not
128,Not
126,Not
121,Not
120,Not
120,Not
119,Not
118,Not
117,Not
121,Not
117,Not
116,Not
111,Not
120,Not
120,Not
116,Not
113,Not
116,Not
113,Not
107,Not
109,Not
105,Not
107,Not
106,Not
104,Not
105,Not
103,Not
101,Not
97,Not
95,Not
93,Not
93,Not
91,Not
94,Not
90,Not
93,Not
93,Not
95,Not
92,Not
91,Not
91,Not
91,Not
91,Not
89,Not
88,Not
87,Not
91,Not
93,Not
95,Not
94,Not
93,Not
95,Not
96,Not
96,Not
96,Not
96,Not
101,Not
104,Not
101,Not
104,Not
104,Not
104,Not
108,Not
107,Not
105,Not
99,Not
98,Not
95,Not
93,Not
93,Not
91,Not
92,Not
92,Not
95,Not
99,Not
97,Not
97,Not
103,Not
101,Not
103,Not
101,Not
101,Not
105,Not
98,Not
95,Not
96,Not
91,Not
90,Not
89,Not
92,Not
93,Not
92,Not
90,Not
87,Not
85,Not
85,Not
88,Not
88,Not
87,Not
83,Not
85,Not
87,Not
86,Not
85,Not
83,Not
80,Not
79,Not
77,Not
78,Not
74,Not
71,Not
72,Not
69,Not
68,Not
71,Not
74,Not
74,Not
75,Not
73,Not
73,Not
76,Not
74,Not
78,Not
80,Not
82,Not
80,Not
77,Not
73,Not
71,Not
72,Not
70,Not
72,Not
71,Not
73,Not
72,Not
72,Not
70,Not
70,Not
69,Not
73,Not
80,Not
78,Not
77,Not
75,Not
75,Not
72,Not
70,Not
68,Not
66,Not
66,Not
67,Not
65,Not
65,Not
65,Not
67,Not
66,Not
66,Not
68,Not
65,Not
63,Not
68,Not
70,Not
69,Not
71,Not
70,Not
70,Not
69,Not
66,Not
65,Not
63,Not
62,Not
63,Not
62,Not
64,Not
64,Not
64,Not
62,Not
63,Not
65,Not
68,Not
68,Not
70,Not
70,Not
72,Not
70,Not
73,Not
72,Not
74,Not
74,Not
73,Not
72,Not
73,Not
72,Not
72,Not
70,Not
70,Not
70,Not
71,Not
70,Not
70,Not
73,Not
76,Not
78,Not
78,Not
81,Not
82,Not
80,Not
82,Not
82,Not
83,Not
81,Not
82,Not
79,Not
76,Not
76,Not
75,Not
76,Not
77,Not
80,Not
81,Not
83,Not
83,Not
84,Not
84,Not
84,Not
82,Not
80,Not
79,Not
79,Not
78,Not
78,Not
81,Not
83,Not
84,Not
84,Not
84,Not
82,Not
81,Not
82,Not
82,Not
83,Not
83,Not
82,Not
83,Not
83,Not
85,Not
86,Not
82,Not
79,Not
77,Not
80,Not
81,Not
80,Not
81,Not
80,Not
83,Not
82,Not
80,Not
79,Not
80,Not
80,Not
78,Not
76,Not
77,Not
78,Not
77,Not
76,Not
75,Not
73,Not
72,Not
71,Not
68,Not
67,Not
70,Not
69,Not
69,Not
