myo,action
30,Not
30,Not
30,Not
30,Not
29,Not
29,Not
30,Not
30,Not
29,Not
28,Not
28,Not
27,Not
27,Not
26,Not
25,Not
25,Not
26,Not
25,Not
24,Not
25,Not
24,Not
25,Not
25,Not
26,Not
27,Not
26,Not
27,Not
26,Not
26,Not
26,Not
26,Not
26,Not
27,Not
26,Not
26,Not
26,Not
26,Not
26,Not
26,Not
26,Not
25,Not
25,Not
26,Not
25,Not
25,Not
24,Not
25,Not
24,Not
23,Not
23,Not
25,Not
26,Not
25,Not
26,Not
26,Not
27,Not
27,Not
25,Not
25,Not
26,Not
25,Not
25,Not
24,Not
24,Not
25,Not
26,Not
25,Not
25,Not
26,Not
26,Not
26,Not
26,Not
25,Not
26,Not
28,Not
27,Not
27,Not
27,Not
27,Not
27,Not
27,Not
26,Not
26,Not
27,Not
29,Not
29,Not
29,Not
28,Not
28,Not
28,Not
28,Not
29,Not
30,Not
31,Not
31,Not
30,Not
29,Not
30,Not
31,Not
33,Not
32,Not
32,Not
32,Not
32,Not
31,Not
31,Not
30,Not
29,Not
30,Not
30,Not
29,Not
30,Not
31,Not
32,Not
32,Not
31,Not
30,Not
31,Not
32,Not
31,Not
31,Not
31,Not
31,Not
31,Not
31,Not
32,Not
33,Not
33,Not
33,Not
32,Not
32,Not
31,Not
32,Not
31,Not
30,Not
30,Not
30,Not
31,Not
31,Not
30,Not
31,Not
31,Not
32,Not
32,Not
30,Not
32,Not
32,Not
31,Not
31,Not
31,Not
31,Not
31,Not
31,Not
30,Not
30,Not
29,Not
29,Not
28,Not
29,Not
29,Not
30,Not
31,Not
31,Not
29,Not
29,Not
29,Not
28,Not
27,Not
28,Not
29,Not
29,Not
29,Not
29,Not
29,Not
30,Not
31,Not
31,Not
30,Not
28,Not
29,Not
31,Not
32,Not
31,Not
30,Not
32,Not
34,Not
35,Not
33,Not
33,Not
33,Not
34,Not
34,Not
34,Not
34,Not
36,Not
36,Not
34,Not
35,Not
35,Not
34,Not
34,Not
34,Not
35,Not
36,Not
36,Not
36,Not
35,Not
34,Not
34,Not
36,Not
36,Not
35,Not
34,Not
35,Not
35,Not
33,Not
32,Not
32,Not
31,Not
30,Not
31,Not
31,Not
32,Not
31,Not
31,Not
30,Not
31,Not
31,Not
31,Not
30,Not
30,Not
29,Not
30,Not
29,Not
29,Not
28,Not
28,Not
27,Not
28,Not
28,Not
28,Not
29,Not
29,Not
29,Not
29,Not
28,Not
27,Not
27,Not
26,Not
26,Not
26,Not
26,Not
29,Not
28,Not
28,Not
27,Not
26,Not
28,Not
26,Not
26,Not
25,Not
27,Not
26,Not
29,Not
29,Not
29,Not
28,Not
28,Not
30,Not
47,Not
67,Not
78,Not
88,Not
96,Not
102,Not
105,Not
103,Not
101,Not
102,Not
144,Not
146,Not
157,Not
156,Not
164,Not
181,Not
185,Not
197,Not
211,Not
223,Not
234,Not
243,Not
252,Not
259,Not
265,Not
271,Not
276,Not
279,Not
283,Not
285,Not
287,Not
288,Not
289,Not
290,Not
290,Not
290,Not
289,Not
288,Not
287,Not
286,Not
284,Not
282,Not
280,Not
278,Not
276,Not
273,Not
271,Not
268,Not
266,Not
263,Not
260,Not
257,Not
254,Not
251,Not
248,Not
245,Not
243,Not
239,Not
236,Not
233,Not
231,Not
227,Not
223,Not
221,Not
218,Not
214,Not
211,Not
209,Not
206,Not
203,Not
200,Not
197,Not
194,Not
191,Not
188,Not
185,Not
183,Not
180,Not
177,Not
174,Not
172,Not
170,Not
167,Not
164,Not
162,Not
160,Not
157,Not
155,Not
153,Not
150,Not
148,Not
146,Not
144,Not
142,Not
139,Not
137,Not
136,Not
134,Not
131,Not
130,Not
128,Not
126,Not
124,Not
122,Not
120,Not
119,Not
117,Not
115,Not
114,Not
112,Not
110,Not
109,Not
107,Not
106,Not
104,Not
102,Not
102,Not
100,Not
98,Not
97,Not
96,Not
95,Not
93,Not
93,Not
92,Not
91,Not
90,Not
89,Not
89,Not
87,Not
86,Not
85,Not
84,Not
84,Not
82,Not
81,Not
81,Not
80,Not
80,Not
78,Not
77,Not
76,Not
76,Not
75,Not
74,Not
73,Not
73,Not
72,Not
71,Not
70,Not
69,Not
69,Not
68,Not
67,Not
67,Not
66,Not
66,Not
65,Not
64,Not
64,Not
63,Not
63,Not
62,Not
61,Not
61,Not
60,Not
59,Not
58,Not
58,Not
58,Not
57,Not
56,Not
55,Not
55,Not
54,Not
54,Not
54,Not
54,Not
53,Not
52,Not
52,Not
51,Not
51,Not
49,Not
49,Not
49,Not
48,Not
49,Not
48,Not
47,Not
47,Not
46,Not
46,Not
45,Not
45,Not
45,Not
45,Not
44,Not
44,Not
44,Not
44,Not
43,Not
42,Not
42,Not
42,Not
42,Not
41,Not
41,Not
40,Not
40,Not
39,Not
39,Not
39,Not
39,Not
38,Not
38,Not
38,Not
38,Not
38,Not
37,Not
37,Not
36,Not
35,Not
36,Not
36,Not
35,Not
35,Not
35,Not
34,Not
35,Not
34,Not
34,Flex
33,Flex
33,Flex
33,Flex
33,Flex
33,Flex
32,Flex
32,Flex
32,Flex
31,Flex
32,Flex
31,Flex
31,Flex
31,Flex
31,Flex
30,Flex
30,Flex
30,Flex
31,Flex
30,Flex
30,Flex
29,Flex
29,Flex
29,Flex
29,Flex
29,Flex
29,Flex
28,Flex
28,Flex
28,Flex
28,Flex
28,Flex
28,Flex
27,Flex
27,Flex
27,Flex
27,Flex
27,Flex
26,Flex
26,Flex
26,Flex
26,Flex
27,Flex
26,Flex
25,Flex
26,Flex
25,Flex
25,Flex
25,Flex
25,Flex
25,Flex
25,Flex
25,Flex
25,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
24,Flex
23,Flex
24,Flex
23,Flex
23,Flex
23,Flex
24,Flex
23,Flex
23,Flex
23,Flex
22,Flex
23,Flex
23,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Flex
22,Flex
21,Flex
22,Flex
22,Flex
22,Flex
22,Flex
21,Flex
22,Flex
22,Flex
21,Flex
21,Flex
21,Flex
21,Flex
20,Flex
21,Flex
21,Flex
21,Flex
21,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
20,Flex
19,Flex
20,Flex
20,Flex
20,Flex
20,Flex
19,Flex
19,Flex
19,Flex
19,Flex
20,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
18,Flex
18,Flex
19,Flex
19,Flex
19,Flex
18,Flex
18,Flex
19,Flex
18,Flex
18,Flex
18,Flex
18,Flex
18,Flex
18,Flex
18,Flex
18,Flex
19,Flex
18,Flex
18,Flex
18,Flex
18,Flex
17,Flex
18,Flex
17,Flex
17,Flex
18,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
18,Flex
18,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
16,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
16,Flex
16,Flex
16,Flex
17,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
17,Flex
17,Flex
16,Flex
16,Flex
16,Flex
16,Flex
17,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
15,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
15,Flex
15,Flex
15,Flex
15,Flex
16,Flex
16,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
16,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
14,Flex
15,Flex
14,Flex
14,Flex
15,Flex
14,Flex
14,Flex
15,Flex
15,Flex
15,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
15,Flex
14,Flex
14,Flex
14,Flex
14,Flex
15,Flex
14,Flex
15,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
15,Flex
14,Flex
14,Flex
14,Flex
14,Flex
15,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
15,Flex
14,Flex
14,Flex
13,Flex
14,Flex
13,Flex
14,Flex
13,Flex
14,Flex
14,Flex
14,Flex
13,Flex
14,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
14,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
12,Flex
14,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
12,Flex
13,Flex
13,Flex
13,Flex
12,Flex
13,Flex
12,Flex
12,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
12,Flex
13,Flex
12,Flex
12,Flex
12,Flex
12,Flex
13,Flex
13,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
13,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
11,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
11,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
13,Flex
12,Flex
12,Flex
12,Flex
12,Flex
11,Flex
12,Flex
12,Flex
12,Flex
11,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
11,Flex
11,Flex
12,Flex
12,Flex
12,Flex
12,Flex
11,Flex
11,Flex
12,Flex
11,Flex
12,Flex
12,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
12,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Not
11,Not
12,Not
11,Not
12,Not
11,Not
11,Not
12,Not
11,Not
11,Not
12,Not
11,Not
12,Not
11,Not
11,Not
12,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
12,Not
11,Not
11,Not
12,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
12,Not
11,Not
11,Not
12,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
12,Not
12,Not
11,Not
11,Not
11,Not
11,Not
11,Not
12,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
12,Not
11,Not
11,Not
12,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
10,Not
10,Not
11,Not
11,Not
10,Not
10,Not
10,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
10,Not
11,Not
10,Not
11,Not
11,Not
10,Not
11,Not
10,Not
11,Not
11,Not
10,Not
10,Not
11,Not
11,Not
11,Not
10,Not
10,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
10,Not
11,Not
10,Not
10,Not
11,Not
10,Not
10,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
10,Not
11,Not
10,Not
10,Not
11,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
10,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
11,Not
10,Not
10,Not
10,Not
10,Not
11,Not
11,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
11,Not
10,Not
10,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
15,Not
17,Not
17,Not
17,Not
19,Not
25,Not
26,Not
26,Not
30,Not
31,Not
32,Not
31,Not
35,Not
39,Not
43,Not
43,Not
41,Not
43,Not
42,Not
44,Not
42,Not
42,Not
51,Not
51,Not
49,Not
47,Not
45,Not
47,Not
49,Not
48,Not
49,Not
49,Not
50,Not
52,Not
51,Not
49,Not
47,Not
46,Not
47,Not
45,Not
44,Not
42,Not
44,Not
43,Not
41,Not
43,Not
52,Not
51,Not
50,Not
49,Not
48,Not
49,Not
48,Not
47,Not
46,Not
45,Not
44,Not
45,Not
45,Not
54,Not
53,Not
52,Not
51,Not
50,Not
49,Not
49,Not
49,Not
47,Not
46,Not
45,Not
44,Not
43,Not
45,Not
44,Not
43,Not
43,Not
42,Not
42,Not
41,Not
41,Not
40,Not
39,Not
38,Not
36,Not
35,Not
34,Not
32,Not
32,Not
31,Not
31,Not
31,Not
30,Not
29,Not
30,Not
30,Not
30,Not
30,Not
30,Not
29,Not
28,Not
28,Not
28,Not
29,Not
28,Not
28,Not
27,Not
27,Not
27,Not
28,Not
28,Not
28,Not
27,Not
27,Not
27,Not
27,Not
28,Not
27,Not
28,Not
27,Not
27,Not

